Model,Accuracy,Kappa,Sensitivity,Specificity,Balanced_Accuracy,AUC
XGBoost,0.863621207069023,0.5045403998847985,0.46153846153846156,0.966499162479062,0.7140188120087618,0.8600250296764784
Random Forest,0.8552850950316773,0.4322830702877742,0.3567921440261866,0.9828308207705193,0.669811482398353,0.8526562846968064
KNN,0.8336112037345782,0.3447168184566851,0.2995090016366612,0.9702680067001676,0.6348885041684144,0.8066423223592046
Logistic Regression,0.8092697565855285,0.22782451187278072,0.21112929623567922,0.9623115577889447,0.586720427012312,0.7617307760844594
Decision Tree,0.8236078692897633,0.3864767964879455,0.41407528641571195,0.928391959798995,0.6712336231073535,0.7316403347890571
